Bundle_ID,Discount_Level,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund,ROI
BNDL_0013N3,20,52723.64,113,2.0,95.71349777822624
BNDL_0015AP,16,80876.62,63,1.0,98.75365711376168
BNDL_006BOF,15,62150.27,95,2.0,97.70717005734649
BNDL_006WHC,38,20664.56,111,4.0,79.5882418982064
BNDL_008N9H,58,16836.65,89,3.0,69.34069425924991
BNDL_00E7XH,64,62656.1,27,3.0,97.24208816061007
BNDL_00POVF,47,96589.84,145,1.0,92.94439249511129
BNDL_00S1BR,57,10931.95,106,2.0,44.730811977734994
BNDL_00VUUO,24,50882.75,1,2.0,99.95283273801043
BNDL_00XWP1,18,18644.76,112,1.0,89.18731053657972
BNDL_00Y0AB,17,88093.28,70,3.0,98.64915916401343
BNDL_0166Y2,63,35435.53,56,4.0,90.04389097609095
BNDL_016KVI,17,89129.91,86,3.0,98.35969765929305
BNDL_01I74N,12,15747.78,104,3.0,92.07507343892281
BNDL_01KKS2,33,2966.11,21,1.0,76.63606541901683
BNDL_01L5R5,34,83236.55,25,2.0,98.9788139945733
BNDL_01WB3O,25,45401.37,48,4.0,97.35690795233712
BNDL_01WV0W,43,28422.2,121,1.0,81.69388717270303
BNDL_01XAJ6,50,25173.01,80,4.0,84.10996539547713
BNDL_01XQ22,54,23329.59,12,2.0,97.22241153830822
BNDL_02ATEL,14,50491.97,172,2.0,95.23092483814753
BNDL_02B7J9,57,73939.81,3,1.0,99.76873080955983
BNDL_02FWR7,58,38384.59,122,3.0,81.56551887098442
BNDL_02HGIE,19,16945.48,24,4.0,97.30901691778575
BNDL_02ID7Y,19,61932.81,37,4.0,98.86489891222439
BNDL_02PTR1,31,41265.21,83,3.0,93.76472335897479
BNDL_02U00C,64,77420.8,117,2.0,90.32818054062992
BNDL_02WKEG,46,69075.67,51,2.0,96.60372458204169
BNDL_02Z7IU,65,5049.44,173,1.0,-122.6979625463418
BNDL_02ZINO,36,5994.26,68,4.0,59.16093062362994
BNDL_0397JR,62,30369.9,160,4.0,67.336079473426
BNDL_03CX15,55,26448.2,180,1.0,62.568341134746404
BNDL_03D5M4,58,63718.37,74,3.0,93.26410892180701
BNDL_03UN8B,11,57011.7,176,1.0,96.60420580337018
BNDL_03YG46,29,2764.06,197,4.0,-106.68871153303473
BNDL_03ZPJS,65,4302.01,4,4.0,93.95631344418074
BNDL_04DBV4,20,68036.53,78,1.0,97.70711410473167
BNDL_04GP0Q,35,35345.82,41,3.0,95.94011399367733
BNDL_04H4MG,20,43033.94,52,2.0,97.58330285351515
BNDL_04VD8J,49,64835.13,87,2.0,93.42486087403542
BNDL_050IC5,53,96555.71,20,2.0,98.90218817716736
BNDL_056SJO,65,91088.57,162,4.0,88.43982291082185
BNDL_0576BL,33,75391.1,87,1.0,96.19185819015772
BNDL_05AH9F,56,38935.47,25,1.0,96.40430692116982
