Bundle_Category,Bundle_ID,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund
Basic,BNDL_0013N3,52723.64,113,2.0
Basic,BNDL_0015AP,80876.62,63,1.0
Basic,BNDL_006BOF,62150.27,95,2.0
Basic,BNDL_006WHC,20664.56,111,4.0
Basic,BNDL_00POVF,96589.84,145,1.0
Basic,BNDL_00Y0AB,88093.28,70,3.0
Basic,BNDL_0166Y2,35435.53,56,4.0
Basic,BNDL_01KKS2,2966.11,21,1.0
Basic,BNDL_01L5R5,83236.55,25,2.0
Basic,BNDL_01WB3O,45401.37,48,4.0
Basic,BNDL_01XQ22,23329.59,12,2.0
Basic,BNDL_02ATEL,50491.97,172,2.0
Basic,BNDL_02HGIE,16945.48,24,4.0
Basic,BNDL_02PTR1,41265.21,83,3.0
Basic,BNDL_02WKEG,69075.67,51,2.0
Basic,BNDL_04GP0Q,35345.82,41,3.0
Basic,BNDL_050IC5,96555.71,20,2.0
Basic,BNDL_05AH9F,38935.47,25,1.0
Basic,BNDL_05GNUK,35354.75,99,2.0
Basic,BNDL_061MAQ,8376.77,72,1.0
Basic,BNDL_0653XK,73810.43,121,1.0
Basic,BNDL_06FERV,17723.89,130,3.0
Basic,BNDL_07A44I,75684.9,15,2.0
Basic,BNDL_07O2CZ,95854.73,66,1.0
Basic,BNDL_081G8R,50854.86,59,1.0
Basic,BNDL_0876TE,2026.73,122,2.0
Basic,BNDL_08EA6Z,38522.1,9,4.0
Basic,BNDL_08Z25N,77112.23,142,2.0
Basic,BNDL_094C6M,56355.91,138,3.0
Basic,BNDL_09PEG1,94987.51,34,1.0
Basic,BNDL_09SBBN,43196.78,182,4.0
Basic,BNDL_09X7VZ,32082.7,140,2.0
Basic,BNDL_0BFQ2D,31978.23,11,2.0
Basic,BNDL_0BOJ6Y,6173.47,82,2.0
Basic,BNDL_0CTTRS,38406.41,29,2.0
Basic,BNDL_0DVKOK,74457.3,43,2.0
Basic,BNDL_0EA77R,40781.57,27,4.0
Basic,BNDL_0EZV38,64180.87,112,1.0
Basic,BNDL_0F93NM,1746.81,180,2.0
Basic,BNDL_0FNM17,81097.28,177,3.0
Basic,BNDL_0GB329,10851.29,113,4.0
Basic,BNDL_0GLI8C,7574.29,40,2.0
Basic,BNDL_0GP18F,77812.3,159,1.0
Basic,BNDL_0HBMQF,81158.22,9,4.0
Basic,BNDL_0HTY5E,84361.2,11,4.0
Basic,BNDL_0HY0EF,32585.62,160,4.0
Basic,BNDL_0IF2GC,88119.65,171,2.0
Basic,BNDL_0J2ZNC,59337.82,196,4.0
Basic,BNDL_0LTQ5F,60351.88,61,2.0
Basic,BNDL_0MX9T7,11742.17,84,3.0
Basic,BNDL_0N4LMF,65176.51,75,2.0
Basic,BNDL_0NGAP4,27440.88,57,1.0
Basic,BNDL_0NZERY,52874.82,191,1.0
Basic,BNDL_0O7PU0,67391.3,55,4.0
Basic,BNDL_0PUG56,89367.06,134,2.0
Basic,BNDL_0QRSZB,7050.89,169,2.0
Basic,BNDL_0QWSUQ,7801.36,57,3.0
Basic,BNDL_0R1VL7,96739.57,126,3.0
Basic,BNDL_0RJZJJ,98437.96,114,3.0
Basic,BNDL_0RMMXG,53061.72,72,3.0
Basic,BNDL_0SEO2Q,89292.69,154,1.0
Basic,BNDL_0SJQY3,63982.11,57,2.0
Basic,BNDL_0SNJ8K,22905.91,131,4.0
Basic,BNDL_0SVFQM,31790.17,176,2.0
Basic,BNDL_0T1ZKF,84429.61,183,1.0
Basic,BNDL_0T70W8,13445.75,33,2.0
Basic,BNDL_0TOCI4,19601.76,6,2.0
Basic,BNDL_0U9BDU,73281.56,157,4.0
Basic,BNDL_0UO1V8,86994.07,31,1.0
Basic,BNDL_0UT3LV,47263.18,20,3.0
Basic,BNDL_0UY7M6,63120.89,23,3.0
Basic,BNDL_0V6B5Y,33717.39,68,2.0
Basic,BNDL_0VG01F,14328.51,87,2.0
Basic,BNDL_0VSWRO,88197.3,65,4.0
Basic,BNDL_0WCAMR,99226.29,61,3.0
Basic,BNDL_0WTYO5,74244.12,39,2.0
Basic,BNDL_0X0S26,5092.06,142,2.0
Basic,BNDL_0X4LDT,6664.3,111,4.0
Basic,BNDL_0X5DK3,52865.33,42,1.0
Basic,BNDL_0X8GY0,50750.78,5,3.0
Basic,BNDL_0X9YYO,98572.06,69,4.0
Basic,BNDL_0XH83S,43361.62,87,3.0
Basic,BNDL_0XLCGO,33018.06,173,3.0
Basic,BNDL_0XUSJ6,40736.85,18,4.0
Basic,BNDL_0Y46WV,47688.57,74,1.0
Basic,BNDL_0YGXFY,69641.84,147,3.0
Basic,BNDL_0YJAIV,51274.93,14,3.0
Basic,BNDL_0YSIGZ,89494.32,184,3.0
Basic,BNDL_0ZACSS,94525.46,24,4.0
Basic,BNDL_0ZHU8X,62267.29,194,3.0
Basic,BNDL_10G4O1,5528.63,158,3.0
Basic,BNDL_114RV3,93139.03,184,1.0
Basic,BNDL_116GOH,32354.56,180,3.0
Basic,BNDL_11ZK2B,2073.3,73,4.0
Basic,BNDL_12B34B,42530.6,150,1.0
Basic,BNDL_12LKQL,3315.14,12,1.0
Basic,BNDL_13GE7P,42037.25,198,2.0
Basic,BNDL_14OWFQ,37921.18,47,1.0
Basic,BNDL_14R33T,38452.93,66,2.0
Basic,BNDL_1639KZ,81385.63,119,1.0
Basic,BNDL_16CQWU,60442.33,37,1.0
Basic,BNDL_16GVZ8,13854.99,69,3.0
Basic,BNDL_16X1CJ,71835.65,153,3.0
Basic,BNDL_1785UU,99859.2,154,4.0
Basic,BNDL_17DHSU,76466.62,119,1.0
Basic,BNDL_17F1RD,68508.48,93,2.0
Basic,BNDL_185M03,95824.99,85,2.0
Basic,BNDL_18Z27M,69745.44,66,4.0
Basic,BNDL_1A8T27,59165.15,105,4.0
