Campaign_ID,Common_Keywords,Revenue_Generated,Budget,Clicks,Conversions,Customer_Satisfaction_Post_Refund,ROI,CPA,ROI_Category,CPA_Category
CMP_005HPN,Affordable,82652.68,33263.36,755,552,2.0,148.47964847808518,60.25971014492754,> 100%,< $100
CMP_009N8Q,Stylish,67994.24,40292.3,615,582,2.0,68.752441533494,69.2307560137457,50-100%,< $100
CMP_00ASCH,Affordable,95241.21,42099.04,3738,640,2.0,126.23131073772704,65.77975,> 100%,< $100
CMP_00QX5K,Stylish,84513.19,49461.56,3951,539,4.0,70.86640615459764,91.76541743970314,50-100%,< $100
CMP_00T86Z,Durable,39298.21,32358.77,1822,225,4.0,21.44531451597202,143.81675555555555,0-50%,$100-200
CMP_00UYE0,Affordable,22800.89,32739.39,2312,381,2.0,-30.356399431999193,85.93015748031496,< 0%,< $100
CMP_00WN59,Durable,68615.3,16488.47,2230,722,4.0,316.14109738502117,22.837216066481997,> 100%,< $100
CMP_013HDW,Affordable,23785.29,5674.22,1323,275,4.0,319.18166725999345,20.633527272727274,> 100%,< $100
CMP_015OZ2,Durable,98278.76,30485.16,4163,984,1.0,222.38230010929905,30.980853658536585,> 100%,< $100
CMP_016X8A,Innovative,9524.05,41222.89,46,659,2.0,-76.8962098484604,62.55370257966616,< 0%,< $100
CMP_01AXYZ,Innovative,10610.96,30594.32,642,28,2.0,-65.31722228178303,1092.6542857142856,< 0%,> $300
CMP_01E1LP,Innovative,50287.78,29253.76,3624,844,1.0,71.9019367083069,34.66085308056872,50-100%,< $100
CMP_01GOIO,Innovative,67751.21,37308.56,1222,501,1.0,81.5969579099274,74.46818363273452,50-100%,< $100
CMP_01GZPO,Durable,71975.23,39970.57,3053,625,2.0,80.07056191592964,63.952912,50-100%,< $100
CMP_01OVVF,Affordable,25560.55,36140.32,1015,74,4.0,-29.274145884707163,488.3827027027027,< 0%,> $300
CMP_01U2I4,Durable,57129.38,17581.62,4397,968,1.0,224.93808875405108,18.162830578512395,> 100%,< $100
CMP_01WK0F,Affordable,24840.72,18101.99,2162,711,1.0,37.22645963233876,25.45990154711674,0-50%,< $100
CMP_01YK96,Innovative,2348.11,30533.41,4103,683,4.0,-92.30970271581197,44.70484626647145,< 0%,< $100
CMP_02C8RJ,Affordable,97392.55,21770.04,472,586,3.0,347.36964194829227,37.15023890784983,> 100%,< $100
CMP_02IF65,Stylish,20782.28,24776.0,3289,781,4.0,-16.11930900871812,31.723431498079385,< 0%,< $100
CMP_02X5MG,Stylish,90928.16,9102.17,1252,350,3.0,898.9723329711486,26.0062,> 100%,< $100
CMP_03G0EW,Innovative,73489.77,33451.6,597,353,4.0,119.68985041074272,94.76373937677053,> 100%,< $100
CMP_03GFYJ,Stylish,42119.75,41920.69,1027,775,4.0,0.47484905424981716,54.09121290322581,0-50%,< $100
CMP_03R2K8,Affordable,10831.69,22089.29,2275,69,3.0,-50.96406448554933,320.13463768115946,< 0%,> $300
CMP_03VGNU,Stylish,61531.91,43210.68,175,469,4.0,42.39977246365945,92.1336460554371,0-50%,< $100
CMP_04KYJD,Affordable,52294.8,31303.89,127,540,1.0,67.0552765167524,57.970166666666664,50-100%,< $100
CMP_04LFLT,Durable,21774.18,49271.45,3335,826,1.0,-55.807714203661554,59.650665859564164,< 0%,< $100
CMP_04W0U6,Stylish,77366.94,2091.53,2514,527,1.0,3599.0595401452524,3.968747628083492,> 100%,< $100
CMP_04XB91,Affordable,47302.09,24171.14,3476,988,2.0,95.69656209843639,24.464716599190282,50-100%,< $100
CMP_055BQ3,Innovative,99958.93,22841.33,4429,696,4.0,337.623071861402,32.81800287356322,> 100%,< $100
CMP_055LME,Durable,7089.05,13960.09,437,259,4.0,-49.2191669251416,53.89996138996139,< 0%,< $100
CMP_05BNUJ,Innovative,75011.08,46325.92,1897,123,3.0,61.92032451810996,376.63349593495934,50-100%,> $300
CMP_05CIZ6,Durable,87533.24,12364.26,3513,373,3.0,607.9537311573844,33.14815013404826,> 100%,< $100
CMP_05E7RU,Durable,52462.01,14188.67,2561,381,2.0,269.7457901269111,37.24060367454068,> 100%,< $100
CMP_05EEPH,Stylish,23707.58,30958.47,1327,204,1.0,-23.4213447886798,151.75720588235293,< 0%,$100-200
CMP_05QRW3,Stylish,65748.94,23765.78,3495,161,2.0,176.6538274779957,147.6135403726708,> 100%,$100-200
CMP_068HIJ,Affordable,25396.67,47196.52,2207,394,4.0,-46.189528380482294,119.78812182741116,< 0%,$100-200
CMP_06LDSX,Innovative,14358.16,46675.85,1398,848,3.0,-69.23856769614265,55.04227594339623,< 0%,< $100
CMP_06OT86,Affordable,66573.53,32782.84,224,63,1.0,103.07432180982492,520.3625396825396,> 100%,> $300
CMP_06QPNE,Durable,33860.4,31852.59,2327,493,1.0,6.303443456246419,64.60971602434077,0-50%,< $100
CMP_06SBHV,Affordable,71615.24,4218.91,2682,916,4.0,1597.482051051101,4.605796943231441,> 100%,< $100
CMP_06ST91,Durable,71334.17,21379.86,1696,107,4.0,233.6512493533634,199.8117757009346,> 100%,$100-200
CMP_06WY09,Durable,67190.51,31679.92,4565,326,3.0,112.0917918984644,97.17766871165644,> 100%,< $100
CMP_06XBL7,Stylish,89465.78,10261.75,921,42,4.0,771.8374546251857,244.32738095238096,> 100%,$200-300
CMP_077AB6,Affordable,66632.13,37622.82,2577,311,1.0,77.10562366138424,120.97369774919613,50-100%,$100-200
CMP_077UT9,Stylish,81170.12,25035.09,2559,917,1.0,224.22539723244452,27.301079607415485,> 100%,< $100
CMP_07ODCX,Affordable,15358.0,47360.42,2354,870,4.0,-67.57207811923965,54.43726436781609,< 0%,< $100
CMP_08130A,Innovative,47984.48,1399.66,515,315,3.0,3328.2954431790577,4.44336507936508,> 100%,< $100
CMP_085NO5,Durable,76560.09,7875.38,4613,379,2.0,872.1447092076826,20.779366754617413,> 100%,< $100
