Customer_ID,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund,Subscription_Tier,Subscription_Length,CLTV
CUST_002VLH,25148.09,17,3.0,Standard,13.0,352073.26
CUST_00AZ9L,72941.5,68,2.0,Standard,29.0,2188245.0
CUST_00O7D0,48280.8,67,3.0,Premium,24.0,1207020.0
CUST_00UO38,38584.45,3,1.0,Premium,14.0,578766.75
CUST_016MC7,73399.71,4,2.0,Basic,10.0,807396.81
CUST_018KA2,48090.07,31,3.0,Standard,19.0,961801.4
CUST_019FP3,61222.34,77,2.0,Premium,26.0,1653003.18
CUST_01GR3N,7586.93,161,4.0,Basic,23.0,182086.32
CUST_01NIEH,66242.84,158,3.0,Standard,22.0,1523585.3199999998
CUST_01ZUX6,77366.94,36,1.0,Premium,28.0,2243641.2600000002
CUST_02055L,13261.16,101,3.0,Basic,22.0,305006.68
CUST_027LAJ,3033.42,49,2.0,Basic,25.0,78868.92
CUST_02BN8W,10429.57,152,3.0,Standard,12.0,135584.41
CUST_02I41N,33964.6,194,3.0,Standard,13.0,475504.39999999997
CUST_02L4E7,76345.96,121,3.0,Standard,27.0,2137686.8800000004
CUST_02MYFP,79743.86,118,1.0,Standard,32.0,2631547.38
CUST_02SWPC,7511.45,14,4.0,Basic,7.0,60091.6
CUST_03EKA9,24631.86,152,2.0,Basic,20.0,517269.06
CUST_03HY5T,22155.92,10,4.0,Standard,21.0,487430.24
CUST_03QPKR,96911.41,83,1.0,Standard,9.0,969114.1000000001
CUST_03T8JA,86269.29,153,2.0,Standard,33.0,2933155.86
CUST_03WR3V,53156.48,25,2.0,Basic,34.0,1860476.8
CUST_03YE4G,54404.93,102,3.0,Basic,8.0,489644.37
CUST_03YQ2M,33901.38,21,4.0,Standard,5.0,203408.27999999997
CUST_03ZQEU,64091.71,191,1.0,Premium,21.0,1410017.6199999999
CUST_045PM7,97799.32,64,1.0,Standard,24.0,2444983.0
CUST_049AK8,57448.3,31,2.0,Standard,14.0,861724.5
CUST_04BJRO,93466.17,90,4.0,Basic,24.0,2336654.25
CUST_04BKK7,69223.48,166,4.0,Standard,16.0,1176799.16
CUST_04ESGA,57629.41,24,1.0,Premium,26.0,1555994.07
CUST_04LG0A,90079.57,117,3.0,Standard,26.0,2432148.39
CUST_04MPLG,37706.14,7,1.0,Standard,24.0,942653.5
CUST_04RJ6B,24006.15,34,3.0,Standard,3.0,96024.6
CUST_04ROFQ,6487.26,121,2.0,Basic,27.0,181643.28
CUST_04UKMX,57378.49,89,1.0,Basic,27.0,1606597.72
CUST_04Y0BG,15676.98,33,4.0,Premium,16.0,266508.66
CUST_055R3J,14075.2,6,4.0,Standard,13.0,197052.80000000002
CUST_05709A,18772.31,26,4.0,Basic,35.0,675803.16
CUST_058VBV,71717.08,190,3.0,Basic,29.0,2151512.4
CUST_05C2PW,63875.46,102,2.0,Premium,31.0,2044014.72
CUST_05CAFA,25679.95,90,2.0,Standard,25.0,667678.7000000001
CUST_05CGBR,90187.68,62,2.0,Standard,19.0,1803753.5999999999
CUST_05FDRZ,26581.7,36,3.0,Standard,17.0,478470.60000000003
CUST_05MHZT,36492.83,23,3.0,Premium,35.0,1313741.8800000001
CUST_05MY0O,1491.76,178,4.0,Basic,17.0,26851.68
CUST_05PRTW,27472.04,118,2.0,Basic,35.0,988993.4400000001
CUST_05UB2V,34757.05,76,3.0,Standard,6.0,243299.35000000003
CUST_05UFVE,91255.26,56,4.0,Standard,8.0,821297.34
CUST_05XMWP,58976.47,25,1.0,Standard,28.0,1710317.6300000001
CUST_062TRP,49180.75,128,2.0,Premium,27.0,1377061.0
CUST_0638S4,29228.94,64,2.0,Premium,33.0,993783.96
CUST_0669IQ,18724.61,62,1.0,Premium,16.0,318318.37
CUST_066H39,63198.31,90,4.0,Premium,32.0,2085544.23
CUST_06822B,47565.29,161,1.0,Premium,25.0,1236697.54
CUST_0695QV,70969.9,5,2.0,Standard,23.0,1703277.5999999999
CUST_06FTJY,7574.29,40,2.0,Standard,16.0,128762.93
CUST_06JI76,35633.15,139,2.0,Standard,22.0,819562.4500000001
CUST_06KB63,9458.82,84,3.0,Standard,12.0,122964.66
CUST_06L43X,34627.56,67,1.0,Basic,16.0,588668.52
CUST_06LI1X,46263.19,16,3.0,Standard,29.0,1387895.7000000002
CUST_06PD5Z,9525.16,157,2.0,Basic,9.0,95251.6
CUST_071KHP,96823.17,30,2.0,Standard,22.0,2226932.91
CUST_07DUQ5,83220.54,33,1.0,Premium,7.0,665764.32
CUST_07FXD4,2405.58,86,2.0,Premium,13.0,33678.119999999995
CUST_07HDDY,44779.7,22,2.0,Standard,6.0,313457.89999999997
CUST_07LH8C,76760.26,142,4.0,Basic,2.0,230280.77999999997
CUST_07NJK9,6164.12,179,3.0,Standard,4.0,30820.6
CUST_07QLG9,15154.32,79,3.0,Premium,32.0,500092.56
CUST_07X1KJ,57833.21,195,4.0,Standard,25.0,1503663.46
CUST_08LRLN,72594.4,58,2.0,Standard,20.0,1524482.4
CUST_08RWB5,5751.55,35,1.0,Standard,35.0,207055.80000000002
CUST_08YPEW,72583.66,148,4.0,Basic,9.0,725836.6000000001
CUST_09BLT8,97389.95,163,4.0,Standard,10.0,1071289.45
CUST_09JVXW,11743.02,159,2.0,Standard,10.0,129173.22
CUST_0A3PND,43040.96,102,2.0,Basic,8.0,387368.64
CUST_0A69M4,64465.17,197,2.0,Standard,3.0,257860.68
CUST_0AQMKT,69055.3,184,2.0,Basic,18.0,1312050.7
CUST_0AUZ65,42929.79,175,3.0,Premium,21.0,944455.38
CUST_0B3K82,94810.13,50,3.0,Standard,4.0,474050.65
CUST_0B9BEG,83613.75,138,4.0,Standard,24.0,2090343.75
CUST_0BE1HE,9135.67,157,4.0,Basic,35.0,328884.12
CUST_0BE3EC,34769.12,97,3.0,Premium,11.0,417229.44000000006
CUST_0BHYEK,94299.26,97,4.0,Basic,35.0,3394773.36
CUST_0BJTT8,58510.88,100,2.0,Standard,18.0,1111706.72
CUST_0BPXHE,34252.75,86,1.0,Standard,18.0,650802.25
CUST_0BRK0S,45972.3,72,1.0,Basic,23.0,1103335.2000000002
CUST_0BVC7H,21769.1,188,4.0,Premium,15.0,348305.6
CUST_0CFOTU,11814.53,41,2.0,Standard,6.0,82701.71
CUST_0CMMNA,61959.12,136,2.0,Basic,30.0,1920732.72
CUST_0CP479,15327.08,62,1.0,Standard,6.0,107289.56
CUST_0CPM0B,47173.04,76,4.0,Standard,17.0,849114.72
CUST_0CRRZA,4862.18,156,3.0,Standard,26.0,131278.86000000002
CUST_0CUYZA,27345.37,160,4.0,Basic,11.0,328144.44
CUST_0D2J13,16618.89,3,2.0,Premium,28.0,481947.81
CUST_0D5WT8,19324.26,82,4.0,Basic,3.0,77297.04
CUST_0DCPXD,98172.11,72,4.0,Premium,31.0,3141507.52
CUST_0DG8TU,80416.95,140,2.0,Standard,26.0,2171257.65
CUST_0DH00G,33625.58,12,1.0,Basic,10.0,369881.38
CUST_0DMXYI,75706.67,193,1.0,Premium,17.0,1362720.06
CUST_0DNOJ4,76082.13,3,3.0,Basic,5.0,456492.78
CUST_0DWS6F,30866.17,97,2.0,Premium,4.0,154330.84999999998
CUST_0DZRNQ,4937.59,66,4.0,Standard,11.0,59251.08
CUST_0E3JW6,50399.58,171,4.0,Basic,3.0,201598.32
CUST_0E3K5M,10795.73,86,2.0,Basic,30.0,334667.63
CUST_0EGAUZ,80818.5,20,4.0,Basic,28.0,2343736.5
CUST_0EPAPK,49105.49,38,4.0,Standard,20.0,1031215.2899999999
CUST_0EWCHL,16741.55,199,3.0,Basic,8.0,150673.94999999998
CUST_0EWKAE,10555.01,171,1.0,Basic,33.0,358870.34
CUST_0F1R8G,86173.77,118,1.0,Premium,26.0,2326691.79
CUST_0FGIM6,33870.56,182,1.0,Premium,34.0,1185469.5999999999
CUST_0FHC9I,58366.87,199,1.0,Premium,7.0,466934.96
CUST_0FI7NL,98764.51,177,1.0,Premium,22.0,2271583.73
CUST_0FVAOC,47217.83,157,4.0,Premium,20.0,991574.43
CUST_0G0XQ5,53368.81,74,3.0,Premium,24.0,1334220.25
CUST_0G5L4G,65398.05,79,2.0,Standard,29.0,1961941.5
