Month,Discount_Level,Conversions,Revenue_Generated
2023-01,15,691,10063.08
2023-01,16,196,24746.83
2023-01,20,385,75491.29
2023-01,21,504,45575.7
2023-01,23,721,19808.65
2023-01,26,939,130200.03
2023-01,29,989,135777.09999999998
2023-01,31,240,27813.98
2023-01,33,410,37090.3
2023-01,34,48,34951.67
2023-01,37,634,130356.14
2023-01,38,742,32750.39
2023-01,41,776,45439.47
2023-01,42,982,27700.32
2023-01,45,575,10819.42
2023-01,46,230,67173.39
2023-01,47,390,68020.01
2023-01,48,744,62215.66
2023-01,50,1365,120935.03
2023-01,51,802,98591.26
2023-01,54,563,35739.96
2023-01,55,196,91693.73
2023-01,56,730,94646.94
2023-01,57,376,62970.82
2023-01,60,318,38551.59
2023-01,62,565,18977.86
2023-01,64,771,20383.89
2023-01,66,812,78800.86
2023-01,67,218,38504.22
2023-02,15,400,80885.12
2023-02,19,309,46411.0
2023-02,20,758,38209.89
2023-02,21,757,42021.99
2023-02,27,1640,84211.34
2023-02,35,313,22092.6
2023-02,38,497,3979.09
2023-02,39,628,69103.49
2023-02,41,67,70088.95
2023-02,48,795,68500.18
2023-02,53,219,79088.64
2023-02,55,932,11093.5
2023-02,56,5,97902.3
2023-02,60,203,21211.73
2023-02,61,44,26581.7
2023-03,10,902,101127.68
2023-03,11,293,86240.09
2023-03,14,261,68894.18
2023-03,15,136,184748.53
2023-03,16,738,21178.2
2023-03,17,267,13140.75
2023-03,18,458,98670.62
2023-03,20,388,57213.78
2023-03,25,810,29268.55
2023-03,26,612,70409.76999999999
2023-03,29,2684,205817.47
2023-03,35,642,21797.05
2023-03,38,480,18526.14
2023-03,45,865,62976.2
2023-03,54,679,45590.47
2023-03,57,915,165070.63
2023-03,58,578,143092.47
2023-03,59,493,82609.86
2023-03,61,738,92076.92
2023-03,62,364,26867.67
2023-03,64,885,60314.12
2023-03,65,137,56755.99
2023-03,67,1195,45945.8
2023-04,18,997,50380.46
2023-04,20,805,98427.23
2023-04,21,264,33022.54
2023-04,24,664,83461.39
2023-04,26,227,33736.42
2023-04,32,667,41780.55
2023-04,34,817,9540.74
2023-04,35,961,19505.92
2023-04,37,138,13046.33
2023-04,39,486,80441.87
2023-04,40,1333,122482.41
2023-04,41,743,161384.39
2023-04,46,286,8681.49
2023-04,48,732,26450.22
2023-04,50,428,61967.81
2023-04,61,458,67883.28
2023-04,63,90,76315.72
2023-04,64,140,31593.52
2023-04,65,999,20374.5
2023-04,69,1,69801.83
2023-05,11,278,57011.7
2023-05,14,678,45871.16
2023-05,15,659,9524.05
2023-05,16,187,86008.5
2023-05,21,980,21769.1
2023-05,22,402,52471.42
2023-05,24,655,160164.05
2023-05,27,765,75903.63
2023-05,29,220,92999.08
2023-05,30,710,78378.52
2023-05,31,1837,170627.05
2023-05,35,733,73541.12
2023-05,37,505,60523.86
2023-05,38,335,36787.3
2023-05,40,468,26058.11
2023-05,42,442,24915.59
2023-05,43,452,3732.55
2023-05,44,943,33847.94
2023-05,45,1234,72414.45999999999
2023-05,52,339,14098.38
2023-05,53,1356,119428.07
2023-05,55,738,86287.86
2023-05,57,981,87481.59999999999
2023-05,61,105,47263.18
2023-05,63,888,97312.93
2023-05,67,672,87924.79
2023-06,15,895,112151.1
2023-06,16,1361,85922.32
2023-06,18,942,62304.6
2023-06,19,365,110448.26999999999
2023-06,21,915,4579.19
2023-06,23,208,88656.46
2023-06,24,985,52094.12
2023-06,27,1101,100764.95
2023-06,28,1683,118857.62000000001
2023-06,37,253,20426.74
2023-06,39,78,16089.53
2023-06,40,271,94662.57
2023-06,41,122,27199.08
2023-06,43,517,73854.02
2023-06,47,1078,70373.18999999999
2023-06,54,719,3652.9
2023-06,58,303,87601.45
2023-06,62,50,66819.99
2023-06,65,302,71138.53
2023-06,67,908,16377.28
2023-06,69,818,65545.56
2023-07,14,496,16117.96
2023-07,15,321,36668.28
2023-07,16,449,38379.34
2023-07,17,599,55439.84
2023-07,18,349,24857.92
2023-07,19,461,27687.91
2023-07,20,999,161702.76
2023-07,24,1326,64564.659999999996
2023-07,25,829,44254.97
2023-07,26,1149,128251.47
2023-07,28,1004,108883.09
2023-07,31,906,20730.66
2023-07,32,528,98731.51
2023-07,34,430,17452.79
2023-07,36,22,10267.98
2023-07,37,917,54585.44
2023-07,38,734,68426.43
2023-07,41,1066,131908.65
2023-07,43,928,10907.31
2023-07,47,530,28448.2
