Customer_ID,Segment,Segment_Label,Churn_Risk
CUST_002VLH,1,Loyal,0
CUST_00AZ9L,2,New,1
CUST_00O7D0,3,Low Value,0
CUST_00UO38,2,New,0
CUST_016MC7,0,High Value,0
CUST_018KA2,3,Low Value,0
CUST_019FP3,2,New,0
CUST_01GR3N,3,Low Value,1
CUST_01NIEH,3,Low Value,0
CUST_01ZUX6,2,New,0
CUST_02055L,3,Low Value,0
CUST_027LAJ,1,Loyal,1
CUST_02BN8W,1,Loyal,0
CUST_02I41N,1,Loyal,0
CUST_02L4E7,3,Low Value,0
CUST_02MYFP,2,New,0
CUST_02SWPC,1,Loyal,0
CUST_03EKA9,1,Loyal,0
CUST_03HY5T,3,Low Value,0
CUST_03QPKR,0,High Value,0
CUST_03T8JA,2,New,0
CUST_03WR3V,2,New,0
CUST_03YE4G,0,High Value,0
CUST_03YQ2M,1,Loyal,0
CUST_03ZQEU,2,New,0
CUST_045PM7,2,New,0
CUST_049AK8,0,High Value,0
CUST_04BJRO,3,Low Value,0
CUST_04BKK7,3,Low Value,0
CUST_04ESGA,2,New,0
CUST_04LG0A,3,Low Value,0
CUST_04MPLG,2,New,0
CUST_04RJ6B,1,Loyal,0
CUST_04ROFQ,2,New,1
CUST_04UKMX,2,New,1
CUST_04Y0BG,3,Low Value,0
CUST_055R3J,1,Loyal,0
CUST_05709A,3,Low Value,0
CUST_058VBV,3,Low Value,0
CUST_05C2PW,2,New,0
CUST_05CAFA,2,New,0
CUST_05CGBR,0,High Value,0
CUST_05FDRZ,1,Loyal,0
CUST_05MHZT,3,Low Value,1
CUST_05MY0O,1,Loyal,0
CUST_05PRTW,2,New,0
CUST_05UB2V,1,Loyal,0
CUST_05UFVE,0,High Value,0
CUST_05XMWP,2,New,0
CUST_062TRP,2,New,0
CUST_0638S4,2,New,1
CUST_0669IQ,1,Loyal,0
CUST_066H39,3,Low Value,1
CUST_06822B,2,New,1
CUST_0695QV,2,New,0
CUST_06FTJY,1,Loyal,1
CUST_06JI76,2,New,0
