Campaign_ID,Month,Revenue_Generated,Conversions,Customer_Satisfaction_Post_Refund
CMP_005HPN,2033-01,82652.68,552,2.0
CMP_009N8Q,2036-04,67994.24,582,2.0
CMP_00ASCH,2032-03,95241.21,640,2.0
CMP_00QX5K,2040-01,84513.19,539,4.0
CMP_00T86Z,2049-02,39298.21,225,4.0
CMP_00UYE0,2046-07,22800.89,381,2.0
CMP_00WN59,2038-03,68615.3,722,4.0
CMP_013HDW,2030-04,23785.29,275,4.0
CMP_015OZ2,2041-10,98278.76,984,1.0
CMP_016X8A,2023-05,9524.05,659,2.0
CMP_01AXYZ,2031-04,10610.96,28,2.0
CMP_01E1LP,2032-04,50287.78,844,1.0
CMP_01GOIO,2026-05,67751.21,501,1.0
CMP_01GZPO,2024-07,71975.23,625,2.0
CMP_01OVVF,2035-05,25560.55,74,4.0
CMP_01U2I4,2032-01,57129.38,968,1.0
CMP_01WK0F,2040-04,24840.72,711,1.0
CMP_01YK96,2049-04,2348.11,683,4.0
CMP_02C8RJ,2042-11,97392.55,586,3.0
CMP_02IF65,2033-07,20782.28,781,4.0
CMP_02X5MG,2030-07,90928.16,350,3.0
CMP_03G0EW,2038-06,73489.77,353,4.0
CMP_03GFYJ,2037-07,42119.75,775,4.0
CMP_03R2K8,2039-07,10831.69,69,3.0
CMP_03VGNU,2043-08,61531.91,469,4.0
CMP_04KYJD,2041-02,52294.8,540,1.0
CMP_04LFLT,2038-05,21774.18,826,1.0
CMP_04W0U6,2025-06,77366.94,527,1.0
CMP_04XB91,2024-11,47302.09,988,2.0
CMP_055BQ3,2043-08,99958.93,696,4.0
CMP_055LME,2038-04,7089.05,259,4.0
CMP_05BNUJ,2044-06,75011.08,123,3.0
CMP_05CIZ6,2031-12,87533.24,373,3.0
CMP_05E7RU,2045-02,52462.01,381,2.0
CMP_05EEPH,2033-03,23707.58,204,1.0
CMP_05QRW3,2045-09,65748.94,161,2.0
CMP_068HIJ,2031-02,25396.67,394,4.0
CMP_06LDSX,2039-11,14358.16,848,3.0
CMP_06OT86,2024-01,66573.53,63,1.0
CMP_06QPNE,2046-03,33860.4,493,1.0
CMP_06SBHV,2036-01,71615.24,916,4.0
CMP_06ST91,2046-04,71334.17,107,4.0
CMP_06WY09,2048-02,67190.51,326,3.0
CMP_06XBL7,2025-01,89465.78,42,4.0
CMP_077AB6,2032-08,66632.13,311,1.0
CMP_077UT9,2046-12,81170.12,917,1.0
CMP_07ODCX,2023-08,15358.0,870,4.0
CMP_08130A,2046-03,47984.48,315,3.0
CMP_085NO5,2029-11,76560.09,379,2.0
CMP_088HU2,2035-08,61697.37,922,1.0
CMP_0898IS,2048-11,53788.3,97,1.0
CMP_08A249,2048-06,52861.81,756,3.0
CMP_08SHNM,2033-11,39660.59,429,2.0
CMP_08UIZA,2042-03,45862.99,170,2.0
CMP_095T1H,2028-11,92195.49,935,4.0
CMP_09638A,2034-01,28841.35,912,4.0
CMP_097SZO,2026-09,56927.34,350,2.0
CMP_0986TU,2045-12,46433.54,460,1.0
CMP_09C6DP,2023-05,73541.12,733,2.0
CMP_09IGC6,2030-09,58219.03,646,2.0
CMP_09MNPU,2045-01,93664.54,204,3.0
CMP_09SAPA,2043-06,36248.23,234,4.0
CMP_0A0ZHV,2047-04,92476.21,45,1.0
CMP_0A6PRQ,2025-06,78129.67,870,1.0
CMP_0AEMWP,2043-07,8539.58,53,2.0
CMP_0AF0LE,2033-12,97149.07,145,2.0
CMP_0AJPU7,2035-05,53442.64,627,1.0
CMP_0AKJW0,2029-02,85246.63,977,3.0
CMP_0AOAJC,2035-01,84719.31,781,4.0
CMP_0ART2A,2047-04,26140.15,522,4.0
CMP_0AT3SE,2043-06,9956.75,550,3.0
CMP_0AV0D9,2050-02,99436.31,340,2.0
CMP_0AXSY5,2027-11,31476.08,62,3.0
CMP_0B4Y5O,2041-11,47343.49,350,1.0
CMP_0B5OZV,2023-10,47807.67,172,2.0
CMP_0B6LVU,2038-12,5455.87,24,1.0
CMP_0BHUKT,2025-02,63811.8,538,3.0
CMP_0BIRMD,2028-06,17797.4,71,2.0
CMP_0BQEAN,2036-05,83463.25,379,1.0
CMP_0BTCQL,2034-06,50563.13,360,2.0
CMP_0BU524,2045-10,46622.98,76,2.0
CMP_0BYQ8G,2023-05,75903.63,765,3.0
CMP_0C4CDU,2046-02,39371.07,91,4.0
CMP_0C68PK,2031-01,16283.06,541,4.0
CMP_0C7JLV,2040-10,18799.75,741,4.0
CMP_0CHQP5,2039-09,88047.16,812,4.0
CMP_0CIZHK,2038-09,83810.18,406,4.0
CMP_0CJL1B,2031-11,67194.86,992,4.0
CMP_0D69YB,2039-02,11119.21,26,4.0
CMP_0D72QC,2046-01,12008.8,809,1.0
CMP_0D7YKF,2039-08,48792.28,911,2.0
CMP_0DLUF2,2043-10,26547.01,840,3.0
CMP_0E0466,2028-01,64958.97,17,3.0
CMP_0E30OV,2035-07,17439.66,377,2.0
CMP_0E4109,2027-03,72380.15,442,4.0
CMP_0E56UP,2031-12,77054.66,416,1.0
CMP_0E9CIA,2035-09,53220.84,111,2.0
CMP_0EB6MR,2030-05,21009.87,353,3.0
CMP_0EC5DP,2033-12,5671.98,542,4.0
CMP_0EG2GV,2048-01,36072.73,966,2.0
CMP_0EK6OP,2037-08,84977.59,83,4.0
CMP_0EM0L0,2034-02,96514.66,860,4.0
CMP_0EMPHU,2045-02,33267.83,361,4.0
CMP_0EN6NJ,2033-07,30395.75,805,4.0
CMP_0ETX70,2025-01,57864.69,272,3.0
CMP_0F5GAE,2038-03,3033.42,862,2.0
CMP_0F6RY3,2034-06,54602.46,104,2.0
CMP_0F8ZV9,2049-09,53635.95,503,2.0
CMP_0FEK00,2045-07,58524.34,468,1.0
CMP_0FHN8J,2044-05,89087.74,727,2.0
