Discount_Level,Month,Revenue_Generated,Units_Sold,Customer_Satisfaction_Post_Refund,Discount_Category
10,2023-03,101127.68,130,3.0,0-10%
10,2023-10,8361.01,12,3.0,0-10%
10,2023-12,56903.93,79,1.0,0-10%
10,2024-11,42702.47,133,2.0,0-10%
10,2024-12,102655.70999999999,213,1.0,0-10%
10,2025-02,28377.38,83,3.0,0-10%
10,2025-03,22439.47,96,4.0,0-10%
10,2025-05,47279.05,133,4.0,0-10%
10,2025-07,34418.67,159,1.0,0-10%
10,2025-08,10696.09,175,3.0,0-10%
10,2025-09,96196.14,42,2.0,0-10%
10,2025-11,96850.53,167,1.0,0-10%
10,2026-01,64076.09,195,3.0,0-10%
10,2026-04,42553.38,78,4.0,0-10%
10,2026-05,129977.68,262,2.0,0-10%
10,2026-12,89729.6,187,3.5,0-10%
10,2027-02,61013.62,95,4.0,0-10%
10,2027-03,73041.29,135,1.0,0-10%
10,2027-06,103101.8,311,3.5,0-10%
10,2027-11,37748.03,13,3.0,0-10%
10,2027-12,80137.08,9,4.0,0-10%
10,2028-07,106168.67,102,1.0,0-10%
10,2028-08,70312.61,173,3.0,0-10%
10,2028-09,89367.06,134,2.0,0-10%
10,2028-12,98502.9,85,2.0,0-10%
10,2029-01,137158.12,133,3.0,0-10%
10,2029-04,81771.35,166,1.0,0-10%
10,2030-01,120099.67,284,3.0,0-10%
10,2030-05,21009.87,199,3.0,0-10%
10,2030-08,19391.2,48,3.0,0-10%
10,2030-09,49659.16,148,2.0,0-10%
10,2030-10,40051.0,118,3.0,0-10%
10,2030-12,99303.65,178,2.0,0-10%
10,2031-01,13825.02,92,3.0,0-10%
10,2031-03,12145.52,170,4.0,0-10%
10,2031-04,80363.0,26,2.0,0-10%
10,2031-05,83639.05,163,3.0,0-10%
10,2031-06,10368.86,162,3.0,0-10%
10,2031-08,18459.77,39,2.0,0-10%
10,2031-10,76229.55,127,2.0,0-10%
10,2031-11,53808.54,3,1.0,0-10%
10,2031-12,37554.96,101,2.0,0-10%
10,2032-01,60129.04,156,1.0,0-10%
10,2032-05,17076.09,42,3.0,0-10%
10,2032-07,78171.94,168,4.0,0-10%
10,2032-10,38215.869999999995,135,3.5,0-10%
10,2032-12,73052.27,145,3.0,0-10%
10,2033-03,51739.7,119,1.5,0-10%
10,2033-06,46256.37,2,4.0,0-10%
10,2033-08,46603.97,67,2.0,0-10%
10,2034-04,40014.98,140,4.0,0-10%
10,2034-05,72647.71,218,2.0,0-10%
10,2034-10,59905.96,52,3.0,0-10%
10,2034-12,12210.16,76,3.0,0-10%
10,2035-04,138875.69,165,3.0,0-10%
10,2035-06,58131.68,195,3.0,0-10%
10,2035-08,61755.68,1,1.0,0-10%
10,2035-09,34144.99,33,1.0,0-10%
10,2036-02,61722.65,136,2.0,0-10%
10,2036-04,149739.05,152,2.0,0-10%
10,2036-09,73502.78,172,3.0,0-10%
10,2036-12,51592.18,314,3.0,0-10%
10,2037-02,86049.29,109,3.0,0-10%
10,2037-10,17345.6,127,4.0,0-10%
10,2037-11,30868.86,130,3.0,0-10%
10,2037-12,64949.53,148,3.0,0-10%
10,2038-02,3097.14,17,3.0,0-10%
