Year,Month,Revenue_Generated,Conversions,Clicks,Customer_Satisfaction_Post_Refund,Month_Name
2023,2023-01,1685789.59,16912,84093,2.5833333333333335,January
2023,2023-02,761381.52,7567,25108,2.625,February
2023,2023-03,1758332.94,15520,88653,2.515151515151515,March
2023,2023-04,1110278.6199999999,11236,63037,2.4782608695652173,April
2023,2023-05,1722346.0,17562,84573,2.5,May
2023,2023-06,1349519.47,13874,61683,2.7,June
2023,2023-07,1745338.72,19844,82701,2.25,July
2023,2023-08,1767145.03,20993,89390,2.6842105263157894,August
2023,2023-09,1556637.11,16196,85633,2.4545454545454546,September
2023,2023-10,1654534.11,16105,71632,2.5483870967741935,October
2023,2023-11,1375322.6400000001,13967,65614,2.32,November
2023,2023-12,1555785.62,15754,67834,2.2333333333333334,December
2024,2024-01,1688670.48,15204,85222,2.2941176470588234,January
2024,2024-02,1018973.24,12081,55919,2.272727272727273,February
2024,2024-03,1031093.0599999999,13360,59398,2.761904761904762,March
2024,2024-04,895184.4,8737,53437,2.3333333333333335,April
2024,2024-05,1413801.27,15840,86999,2.5625,May
2024,2024-06,1908250.82,15547,79491,2.515151515151515,June
2024,2024-07,1989795.88,16419,87861,2.3783783783783785,July
2024,2024-08,1728060.6099999999,18945,70915,2.235294117647059,August
2024,2024-09,1295998.44,16228,76664,2.4545454545454546,September
2024,2024-10,1899384.83,19369,95300,2.2432432432432434,October
2024,2024-11,1922914.07,23712,108253,2.3863636363636362,November
2024,2024-12,1344251.1099999999,15623,80832,2.84375,December
2025,2025-01,1326427.94,12043,52629,2.3333333333333335,January
2025,2025-02,1975647.23,19905,86302,2.361111111111111,February
2025,2025-03,1566338.87,13422,53248,2.5357142857142856,March
2025,2025-04,1468765.32,13545,49145,2.48,April
2025,2025-05,1725716.73,16799,89327,2.242424242424242,May
2025,2025-06,1924649.3900000001,15158,97259,2.7142857142857144,June
2025,2025-07,2000129.95,19319,86788,2.5365853658536586,July
2025,2025-08,2055455.17,19172,85612,2.4,August
2025,2025-09,1694555.13,17816,90905,2.5714285714285716,September
2025,2025-10,1454881.44,13009,82169,1.903225806451613,October
2025,2025-11,1069115.67,12601,52429,2.4615384615384617,November
2025,2025-12,1653864.7,18152,76435,2.588235294117647,December
2026,2026-01,1467931.27,19338,80952,2.6,January
2026,2026-02,1218846.03,14941,74552,2.5357142857142856,February
2026,2026-03,1696369.1199999999,15471,86877,2.65625,March
2026,2026-04,1403782.66,14168,87063,2.8125,April
2026,2026-05,1623249.96,16670,81481,2.3125,May
2026,2026-06,1346395.61,16768,89323,2.8275862068965516,June
2026,2026-07,1472042.23,15142,75947,2.1785714285714284,July
2026,2026-08,1582059.6400000001,12472,78487,2.2142857142857144,August
2026,2026-09,1718689.1500000001,15579,77301,2.5483870967741935,September
2026,2026-10,1689624.91,13744,85823,2.4411764705882355,October
2026,2026-11,1447594.78,10669,72404,2.586206896551724,November
2026,2026-12,1472485.38,14791,76479,2.5517241379310347,December
2027,2027-01,1836867.93,13131,70395,2.566666666666667,January
2027,2027-02,1277602.38,11356,59671,2.6923076923076925,February
2027,2027-03,1381922.65,16404,78355,2.393939393939394,March
2027,2027-04,1223354.17,13636,48748,2.4814814814814814,April
2027,2027-05,915409.08,9334,50272,2.5238095238095237,May
2027,2027-06,1342588.42,12606,73051,2.6296296296296298,June
2027,2027-07,1504853.37,17287,83082,2.15625,July
2027,2027-08,1693788.62,15680,72462,2.5142857142857142,August
2027,2027-09,1309974.36,15780,66136,2.5,September
2027,2027-10,1795908.34,18151,93219,2.5428571428571427,October
2027,2027-11,1401953.4100000001,13402,71617,2.7857142857142856,November
2027,2027-12,1441413.85,13230,69263,2.935483870967742,December
2028,2028-01,1605380.74,17300,82453,2.676470588235294,January
2028,2028-02,1747950.73,16699,108099,2.736842105263158,February
2028,2028-03,1867376.22,23349,91190,2.4358974358974357,March
2028,2028-04,1725653.26,18073,92744,2.5,April
2028,2028-05,1204738.11,9410,50402,2.590909090909091,May
2028,2028-06,1767576.03,16377,93661,2.3636363636363638,June
2028,2028-07,1445785.96,14553,83344,2.3333333333333335,July
2028,2028-08,1674867.98,17682,91535,2.5625,August
2028,2028-09,942666.46,12421,48276,2.1739130434782608,September
2028,2028-10,1390288.33,16412,68113,2.966666666666667,October
2028,2028-11,1365216.1500000001,11847,67280,2.962962962962963,November
2028,2028-12,1775266.19,15111,84077,2.375,December
2029,2029-01,1400045.9,12726,67348,2.3846153846153846,January
2029,2029-02,1556211.6400000001,11048,66095,2.6538461538461537,February
2029,2029-03,1500253.91,13014,68266,2.2758620689655173,March
2029,2029-04,1474126.5,14622,61542,2.2916666666666665,April
2029,2029-05,1248036.25,11394,67989,2.32,May
2029,2029-06,1493184.85,13113,76484,2.7241379310344827,June
2029,2029-07,1673683.13,17471,85096,2.7,July
2029,2029-08,1537592.11,19022,89406,2.5135135135135136,August
2029,2029-09,1142894.27,12297,67097,2.217391304347826,September
2029,2029-10,1147950.43,12486,63791,2.269230769230769,October
2029,2029-11,1653594.43,13703,78614,2.4193548387096775,November
2029,2029-12,1507754.47,16095,79694,2.4482758620689653,December
2030,2030-01,1732838.52,16239,105322,2.6,January
2030,2030-02,1662129.12,16892,73336,3.161290322580645,February
2030,2030-03,1318271.98,13550,59247,2.2083333333333335,March
2030,2030-04,1399397.79,15387,77901,2.6129032258064515,April
2030,2030-05,1327598.47,12819,51849,2.185185185185185,May
2030,2030-06,2133369.78,17162,106927,2.3902439024390243,June
2030,2030-07,1868428.37,17668,88607,2.6486486486486487,July
2030,2030-08,1732411.14,17053,93941,2.638888888888889,August
2030,2030-09,1709683.5,18079,100495,2.7142857142857144,September
2030,2030-10,1769665.88,17358,69534,2.375,October
2030,2030-11,1572974.49,15876,81279,2.7419354838709675,November
2030,2030-12,1381365.34,14393,70398,2.5384615384615383,December
2031,2031-01,1533345.21,13477,61301,2.923076923076923,January
2031,2031-02,1821098.85,16987,80256,2.787878787878788,February
2031,2031-03,1426046.78,15686,86931,2.4193548387096775,March
2031,2031-04,1185430.93,9886,37532,2.35,April
2031,2031-05,1293425.53,10783,51619,2.75,May
2031,2031-06,1658284.6300000001,15955,80329,2.676470588235294,June
2031,2031-07,1678149.79,16375,100250,2.78125,July
2031,2031-08,2126808.08,21029,120695,2.477272727272727,August
2031,2031-09,1672011.53,20900,80883,2.6,September
2031,2031-10,1771731.07,17940,86185,2.727272727272727,October
